guardrail,view,n,tp,fn,tn,fp,accuracy,attack_recall,precision,f1,false_positive_rate,escalation_rate,revise_total,revise_flagged,revise_blocked,revise_allowed,revise_accuracy,revise_contained
basic_rules,full,10200,6300,0,2949,201,0.9068,1.0,0.9691,0.9843,0.0638,0.0019,750,19,333,398,0.0253,0.4693
provenance_rules,full,10200,6300,0,2928,222,0.9047,1.0,0.966,0.9827,0.0705,0.0374,750,318,432,0,0.424,1.0
ci_norm,full,10200,6300,0,2841,309,0.8962,1.0,0.9532,0.9761,0.0981,0.0,750,0,750,0,0.0,1.0
basic_rules,text_only,10200,6175,125,2949,201,0.8945,0.9802,0.9685,0.9743,0.0638,0.0025,750,26,225,499,0.0347,0.3347
provenance_rules,text_only,10200,6300,0,1800,1350,0.7941,1.0,0.8235,0.9032,0.4286,0.01,750,102,648,0,0.136,1.0
ci_norm,text_only,10200,6300,0,1800,1350,0.7941,1.0,0.8235,0.9032,0.4286,0.0,750,0,750,0,0.0,1.0
basic_rules,destination_blind,10200,779,5521,2949,201,0.3655,0.1237,0.7949,0.214,0.0638,0.0025,750,26,130,594,0.0347,0.208
provenance_rules,destination_blind,10200,4846,1454,2928,222,0.7622,0.7692,0.9562,0.8526,0.0705,0.0025,750,26,142,582,0.0347,0.224
ci_norm,destination_blind,10200,6300,0,1800,1350,0.7941,1.0,0.8235,0.9032,0.4286,0.0,750,0,750,0,0.0,1.0
basic_rules,blind_no_cue,10200,779,5521,2949,201,0.3655,0.1237,0.7949,0.214,0.0638,0.0025,750,26,130,594,0.0347,0.208
provenance_rules,blind_no_cue,10200,4846,1454,2928,222,0.7622,0.7692,0.9562,0.8526,0.0705,0.0025,750,26,142,582,0.0347,0.224
ci_norm,blind_no_cue,10200,6300,0,0,3150,0.6176,1.0,0.6667,0.8,1.0,0.0,750,0,750,0,0.0,1.0
basic_rules,stale_allowlist,10200,866,5434,2949,201,0.374,0.1375,0.8116,0.2351,0.0638,0.0025,750,26,225,499,0.0347,0.3347
provenance_rules,stale_allowlist,10200,6300,0,1800,1350,0.7941,1.0,0.8235,0.9032,0.4286,0.01,750,102,648,0,0.136,1.0
ci_norm,stale_allowlist,10200,6300,0,1800,1350,0.7941,1.0,0.8235,0.9032,0.4286,0.0,750,0,750,0,0.0,1.0
